2,1,-1
8,1,-1
21,1,1
24,1,1
27,1,1
36,1,1
57,1,1
59,1,1
62,1,1
72,1,1
74,1,1
77,1,1
85,1,1
88,1,1
4,2,1
8,2,-1
20,2,1
30,2,1
42,2,1
43,2,1
45,2,1
49,2,1
50,2,1
59,2,1
61,2,1
62,2,1
74,2,1
77,2,1
88,2,1
97,2,1
49,3,1
75,3,1
89,3,1
93,3,1
95,3,1
12,4,-1
21,4,1
40,4,1
42,4,1
44,4,1
47,4,-1
58,4,1
70,4,-1
74,4,1
78,4,-1
80,4,1
92,4,1
95,4,1
96,4,-1
99,4,1
100,4,-1
15,5,1
18,5,-1
22,5,1
25,5,1
26,5,-1
38,5,-1
39,5,1
54,5,1
62,5,1
97,5,1
13,6,1
52,6,1
54,6,1
56,6,-1
57,6,1
60,6,1
61,6,1
63,6,1
64,6,-1
73,6,1
76,6,1
83,6,1
100,6,-1
14,7,1
15,7,1
16,7,-1
22,7,1
52,7,1
68,7,1
80,7,1
84,7,1
92,7,1
4,8,1
10,8,1
15,8,1
16,8,-1
23,8,-1
31,8,1
42,8,1
57,8,1
62,8,1
72,8,1
85,8,1
88,8,1
99,8,1
7,9,1
14,9,1
22,9,1
29,9,-1
38,9,-1
67,9,-1
84,9,1
86,9,1
89,9,1
95,9,1
4,10,1
21,10,1
31,10,1
35,10,-1
42,10,1
58,10,1
72,10,1
74,10,1
88,10,1
5,11,1
6,11,1
37,11,1
55,11,1
61,11,1
62,11,1
66,11,-1
75,11,1
90,11,-1
93,11,1
14,12,1
28,12,1
30,12,1
40,12,1
47,12,-1
70,12,-1
79,12,1
80,12,1
92,12,1
95,12,1
11,13,1
30,13,1
32,13,1
37,13,1
54,13,1
55,13,1
56,13,-1
60,13,1
61,13,1
63,13,1
64,13,-1
73,13,1
75,13,1
100,13,-1
9,14,1
24,14,1
40,14,1
67,14,-1
68,14,1
78,14,-1
86,14,1
89,14,1
95,14,1
7,15,1
11,15,1
16,15,-1
19,15,-1
22,15,1
25,15,1
26,15,-1
48,15,1
65,15,1
68,15,1
75,15,1
84,15,1
92,15,1
94,15,1
4,16,1
6,16,1
7,16,1
15,16,1
29,16,-1
32,16,1
52,16,1
54,16,1
57,16,1
64,16,-1
84,16,1
12,17,-1
28,17,1
29,17,-1
30,17,1
32,17,1
65,17,1
80,17,1
92,17,1
6,18,1
12,18,-1
17,18,1
22,18,1
27,18,1
29,18,-1
31,18,1
56,18,-1
57,18,1
64,18,-1
70,18,-1
79,18,1
83,18,1
96,18,-1
4,19,1
7,19,1
9,19,1
21,19,1
29,19,-1
34,19,1
46,19,-1
78,19,-1
79,19,1
82,19,1
96,19,-1
2,20,-1
3,20,1
6,20,1
40,20,1
43,20,1
45,20,1
67,20,-1
69,20,1
74,20,1
75,20,1
81,20,1
90,20,-1
95,20,1
100,20,-1
2,21,-1
8,21,-1
10,21,1
36,21,1
42,21,1
45,21,1
58,21,1
69,21,1
73,21,1
74,21,1
76,21,1
88,21,1
7,22,1
14,22,1
15,22,1
16,22,-1
19,22,-1
25,22,1
38,22,-1
64,22,-1
68,22,1
84,22,1
89,22,1
92,22,1
1,23,1
6,23,1
10,23,1
24,23,1
26,23,-1
31,23,1
40,23,1
52,23,1
53,23,1
60,23,1
62,23,1
72,23,1
79,23,1
81,23,1
100,23,-1
1,24,1
2,24,-1
6,24,1
27,24,1
31,24,1
56,24,-1
57,24,1
59,24,1
62,24,1
74,24,1
77,24,1
83,24,1
87,24,1
91,24,1
3,25,1
5,25,1
7,25,1
11,25,1
22,25,1
38,25,-1
39,25,1
41,25,1
42,25,1
66,25,-1
68,25,1
75,25,1
86,25,1
97,25,1
16,26,-1
19,26,-1
22,26,1
44,26,1
46,26,-1
49,26,1
50,26,1
57,26,1
62,26,1
89,26,1
97,26,1
2,27,-1
6,27,1
16,27,-1
18,27,-1
52,27,1
56,27,-1
57,27,1
83,27,1
13,28,1
17,28,1
24,28,1
30,28,1
31,28,1
32,28,1
48,28,1
51,28,1
59,28,1
77,28,1
82,28,1
85,28,1
87,28,1
100,28,-1
14,29,1
18,29,-1
19,29,-1
31,29,1
33,29,1
72,29,1
73,29,1
78,29,-1
91,29,1
99,29,1
17,30,1
28,30,1
36,30,1
47,30,-1
51,30,1
59,30,1
62,30,1
74,30,1
76,30,1
87,30,1
98,30,-1
18,31,-1
23,31,-1
24,31,1
32,31,1
42,31,1
52,31,1
56,31,-1
58,31,1
83,31,1
85,31,1
91,31,1
96,31,-1
12,32,-1
15,32,1
17,32,1
30,32,1
37,32,1
62,32,1
3,33,1
9,33,1
10,33,1
19,33,-1
21,33,1
29,33,-1
37,33,1
72,33,1
75,33,1
82,33,1
85,33,1
88,33,1
93,33,1
10,34,1
19,34,-1
21,34,1
33,34,1
35,34,-1
36,34,1
37,34,1
42,34,1
72,34,1
82,34,1
88,34,1
90,34,-1
1,35,1
21,35,1
34,35,1
36,35,1
42,35,1
55,35,1
76,35,1
88,35,1
1,36,1
2,36,-1
4,36,1
8,36,-1
10,36,1
21,36,1
28,36,1
34,36,1
35,36,-1
69,36,1
70,36,-1
74,36,1
76,36,1
80,36,1
88,36,1
92,36,1
3,37,1
6,37,1
11,37,1
13,37,1
31,37,1
35,37,-1
41,37,1
46,37,-1
55,37,1
59,37,1
63,37,1
71,37,-1
73,37,1
75,37,1
14,38,1
19,38,-1
22,38,1
25,38,1
26,38,-1
29,38,-1
39,38,1
42,38,1
47,38,-1
53,38,1
62,38,1
97,38,1
3,39,1
5,39,1
11,39,1
22,39,1
25,39,1
26,39,-1
38,39,-1
64,39,-1
65,39,1
66,39,-1
93,39,1
14,40,1
20,40,1
22,40,1
38,40,-1
41,40,1
43,40,1
44,40,1
50,40,1
53,40,1
70,40,-1
75,40,1
78,40,-1
79,40,1
81,40,1
84,40,1
86,40,1
89,40,1
95,40,1
100,40,-1
13,41,1
19,41,-1
26,41,-1
29,41,-1
38,41,-1
43,41,1
46,41,-1
49,41,1
50,41,1
53,41,1
55,41,1
71,41,-1
96,41,-1
97,41,1
99,41,1
1,42,1
4,42,1
9,42,1
10,42,1
11,42,1
18,42,-1
21,42,1
36,42,1
38,42,-1
39,42,1
66,42,-1
69,42,1
74,42,1
90,42,-1
92,42,1
95,42,1
2,43,-1
3,43,1
20,43,1
40,43,1
59,43,1
67,43,-1
75,43,1
81,43,1
84,43,1
89,43,1
95,43,1
98,43,-1
100,43,-1
23,44,-1
47,44,-1
